母猪品种,variety,体况,body_condition,季节,season,胎次,配种前天数,配种后天数,产子后天数,产子数量,断奶后天数,饲料量
荣昌母猪,1,偏胖,3,夏,1,2,,4,,,,2.253525583550803
二元母猪,5,很胖,4,秋,2,4,,,20,4,,4.393655294981886
二元母猪,5,标准,2,春,0,3,6,,,,,3.2460327270914395
苏太母猪,4,很瘦,0,春,0,5,,,,,2,3.5335721964403697
太湖母猪,0,很瘦,0,春,0,1,,6,,,,3.2126808739433055
苏太母猪,4,偏胖,3,秋,2,5,,,,,4,3.30711355969742
二元母猪,5,标准,2,春,0,5,,6,,,,2.135685322035882
海波儿猪,2,偏瘦,1,秋,2,1,,6,,,,2.1099151398592992
二元母猪,5,很胖,4,冬,3,4,3,,,,,3.1284569166061837
二元母猪,5,偏瘦,1,冬,3,5,,,24,5,,4.912181543757895
太湖母猪,3,偏胖,3,秋,2,3,,,16,3,,4.065786581201496
海波儿猪,2,偏瘦,1,夏,1,2,,,14,2,,3.78437867909
二元母猪,5,标准,2,秋,2,1,,,2,1,,3.6124807011195164
海波儿猪,2,很胖,4,夏,1,2,4,,,,,3.0113378657589283
太湖母猪,0,偏瘦,1,春,0,5,,4,,,,2.5429295140328776
太湖母猪,3,偏胖,3,春,0,1,,,9,1,,3.3772551862267157
太湖母猪,0,标准,2,秋,2,2,,,,,3,3.4098057941491065
太湖母猪,3,很瘦,0,冬,3,1,,4,,,,2.390980941717351
海波儿猪,2,很瘦,0,春,0,5,,,,,2,4.000974721808773
苏太母猪,4,很胖,4,秋,2,4,,4,,,,2.0540412098317122
二元母猪,5,很瘦,0,夏,1,5,,,20,5,,4.869580133099024
荣昌母猪,1,很瘦,0,春,0,6,,,17,6,,5.049033577156203
太湖母猪,3,偏瘦,1,秋,2,3,,,15,3,,4.453899232522451
海波儿猪,2,很瘦,0,夏,1,1,3,,,,,3.721042101796463
太湖母猪,3,很瘦,0,冬,3,4,7,,,,,3.245642427977364
苏太母猪,4,很胖,4,秋,2,5,7,,,,,3.0505361141093905
二元母猪,5,标准,2,秋,2,3,8,,,,,3.037990043161119
太湖母猪,0,很瘦,0,夏,1,4,9,,,,,3.52405614305076
二元母猪,5,偏胖,3,夏,1,1,2,,,,,2.924485184822471
海波儿猪,2,偏瘦,1,秋,2,4,7,,,,,3.3876098811557727
太湖母猪,0,很胖,4,春,0,6,4,,,,,2.9892539686391353
海波儿猪,2,很瘦,0,夏,1,4,,,,,4,3.5239350630089423
苏太母猪,4,偏瘦,1,秋,2,6,,,28,6,,5.225106969214125
荣昌母猪,1,很胖,4,秋,2,4,8,,,,,3.294602148893548
苏太母猪,4,偏胖,3,冬,3,3,3,,,,,2.8355800432602627
海波儿猪,2,标准,2,冬,3,6,,,,,7,3.2043686392358026
太湖母猪,0,偏胖,3,秋,2,5,,3,,,,1.9319732068058728
荣昌母猪,1,偏胖,3,秋,2,4,7,,,,,2.9507243715757006
二元母猪,5,很瘦,0,冬,3,2,,7,,,,2.9509183502927496
太湖母猪,0,很胖,4,夏,1,3,,7,,,,2.7210674649461977
苏太母猪,4,偏胖,3,春,0,3,,,24,3,,4.07214634528577
太湖母猪,3,很瘦,0,夏,1,5,,7,,,,2.635338500922952
太湖母猪,0,很瘦,0,夏,1,2,,,,,2,3.714115635375415
太湖母猪,3,很瘦,0,秋,2,2,7,,,,,3.5742128101169746
二元母猪,5,标准,2,春,0,6,,,,,2,3.403742147684535
二元母猪,5,标准,2,夏,1,4,,7,,,,2.2871535574699395
太湖母猪,3,标准,2,冬,3,2,,,26,2,,3.728429921618512
海波儿猪,2,很瘦,0,春,0,1,9,,,,,3.30554411412593
太湖母猪,0,偏瘦,1,春,0,2,,,,,4,3.5697456384499575
荣昌母猪,1,标准,2,春,0,3,7,,,,,3.2146649107033003
荣昌母猪,1,偏胖,3,夏,1,3,,,22,3,,4.1939958737333605
太湖母猪,3,很瘦,0,春,0,5,,,,,7,3.262187025533438
海波儿猪,2,很胖,4,秋,2,2,,,19,2,,3.564054701710299
苏太母猪,4,偏胖,3,冬,3,1,9,,,,,2.949676054602038
太湖母猪,0,很胖,4,秋,2,1,,9,,,,1.942005983481119
苏太母猪,4,偏瘦,1,冬,3,1,,,,,1,3.701990415199018
太湖母猪,0,偏瘦,1,春,0,1,5,,,,,3.065229458239446
太湖母猪,0,很胖,4,冬,3,3,,5,,,,2.0373796080525794
太湖母猪,0,偏胖,3,夏,1,6,2,,,,,2.8965349967868317
苏太母猪,4,标准,2,秋,2,4,4,,,,,3.10900848813966
太湖母猪,0,很胖,4,夏,1,4,,,,,1,3.1830824399310154
荣昌母猪,1,偏瘦,1,夏,1,1,,,,,3,3.737297447894966
苏太母猪,4,偏胖,3,夏,1,2,1,,,,,2.7935581268301988
荣昌母猪,1,很瘦,0,春,0,2,,1,,,,2.50982324058017
苏太母猪,4,很胖,4,春,0,5,,,,,1,3.338406882133297
荣昌母猪,1,偏胖,3,冬,3,3,,,4,3,,4.112949262465219
苏太母猪,4,很瘦,0,秋,2,5,6,,,,,3.7134057819266317
二元母猪,5,偏胖,3,冬,3,2,3,,,,,3.133758728988957
二元母猪,5,很瘦,0,冬,3,3,,,,,2,3.9054145485501612
太湖母猪,3,偏胖,3,夏,1,2,,,20,2,,3.7378055789486853
苏太母猪,4,偏瘦,1,春,0,4,,,,,5,3.8053260114493717
苏太母猪,4,偏胖,3,冬,3,2,3,,,,,3.1895585820784538
太湖母猪,0,很瘦,0,春,0,4,,3,,,,3.4380175579336822
太湖母猪,3,偏瘦,1,夏,1,5,7,,,,,3.371451864189827
太湖母猪,0,标准,2,春,0,4,,,,,4,3.33434313369581
二元母猪,5,很胖,4,秋,2,3,,,,,2,3.182704517070713
二元母猪,5,偏瘦,1,秋,2,2,,,,,2,3.1806687691218354
太湖母猪,3,标准,2,夏,1,4,,,,,2,3.453376328292131
太湖母猪,0,偏胖,3,春,0,3,,7,,,,2.0052459586643714
二元母猪,5,偏瘦,1,冬,3,3,,,19,3,,4.030252949581316
二元母猪,5,很胖,4,冬,3,6,5,,,,,3.115199286702071
荣昌母猪,1,偏胖,3,秋,2,3,,,,,2,3.4208533229187497
荣昌母猪,1,偏胖,3,秋,2,3,,5,,,,2.104265020386506
海波儿猪,2,偏瘦,1,冬,3,3,1,,,,,3.1612400211119165
太湖母猪,0,很胖,4,冬,3,4,5,,,,,2.906229856144608
苏太母猪,4,偏胖,3,春,0,2,,5,,,,3.0037598187333634
荣昌母猪,1,偏胖,3,秋,2,1,6,,,,,2.9850791774818513
二元母猪,5,很胖,4,夏,1,3,,,20,3,,4.049932348137708
苏太母猪,4,偏胖,3,夏,1,5,7,,,,,2.873987676832039
二元母猪,5,偏胖,3,春,0,3,7,,,,,2.799785370791822
海波儿猪,2,很胖,4,冬,3,6,,,,,1,3.208675535919669
荣昌母猪,1,偏胖,3,夏,1,6,,7,,,,2.1646411370942427
太湖母猪,0,很瘦,0,秋,2,2,,,,,7,4.062912153297997
海波儿猪,2,偏胖,3,夏,1,4,,,,,6,3.27725942338011
太湖母猪,0,偏胖,3,夏,1,1,,,,,2,3.2414781833652144
海波儿猪,2,偏胖,3,春,0,5,7,,,,,3.2706195907500524
荣昌母猪,1,标准,2,秋,2,6,6,,,,,3.0211680220873225
荣昌母猪,1,标准,2,春,0,6,,,,,4,3.3230284481786847
荣昌母猪,1,很胖,4,冬,3,4,,6,,,,2.0944410234434825
海波儿猪,2,偏瘦,1,春,0,2,9,,,,,3.3741964812463072
苏太母猪,4,偏胖,3,冬,3,5,,,,,3,3.250423867321516
太湖母猪,0,很胖,4,秋,2,4,,9,,,,2.0225903905757066
太湖母猪,0,很瘦,0,秋,2,1,6,,,,,3.16223850555139
太湖母猪,0,偏胖,3,秋,2,1,,6,,,,2.0538848002752736
太湖母猪,3,偏胖,3,春,0,3,6,,,,,2.841728713480373
苏太母猪,4,很胖,4,冬,3,6,,,,,1,3.211053418443946
太湖母猪,3,标准,2,冬,3,6,3,,,,,3.1805851731367167
太湖母猪,3,很胖,4,春,0,1,,3,,,,2.1998686098924365
海波儿猪,2,偏胖,3,秋,2,4,,3,,,,1.8271746346706663
苏太母猪,4,很瘦,0,秋,2,4,,3,,,,1.9938561160668349
苏太母猪,4,标准,2,春,0,4,,,27,4,,4.282300493343981
荣昌母猪,1,偏瘦,1,春,0,5,8,,,,,3.211957597920931
太湖母猪,3,偏瘦,1,秋,2,5,,,,,2,3.5654371217814633
太湖母猪,0,很胖,4,冬,3,1,,8,,,,1.9623860613548885
荣昌母猪,1,很瘦,0,春,0,6,,,22,6,,5.443131000119902
二元母猪,5,很胖,4,夏,1,1,,8,,,,2.240507575817772
二元母猪,5,标准,2,夏,1,5,6,,,,,3.0721357407664214
二元母猪,5,偏胖,3,秋,2,1,,6,,,,3.132432787370475
太湖母猪,0,很瘦,0,春,0,4,,,,,5,3.596942694141912
太湖母猪,3,标准,2,秋,2,2,4,,,,,3.3759694715481965
苏太母猪,4,标准,2,春,0,6,,,24,6,,5.198501651677857
太湖母猪,0,很胖,4,春,0,2,,4,,,,2.518484591857609
苏太母猪,4,偏胖,3,春,0,4,,,,,5,3.400754436302118
海波儿猪,2,很胖,4,秋,2,3,,,,,2,3.309583105759341
太湖母猪,0,很瘦,0,夏,1,2,,,2,2,,3.8386949940248334
太湖母猪,0,偏胖,3,夏,1,5,,,,,7,3.3228825620567126
太湖母猪,0,偏瘦,1,冬,3,5,,,12,5,,4.986903994185519
二元母猪,5,偏胖,3,冬,3,5,5,,,,,3.2835362880017738
二元母猪,5,很胖,4,秋,2,3,,,12,3,,4.051190036195379
太湖母猪,0,偏瘦,1,春,0,4,,5,,,,2.3366743206891174
海波儿猪,2,很瘦,0,夏,1,5,,,22,5,,4.982373925908154
二元母猪,5,偏瘦,1,夏,1,5,,,10,5,,4.708785960108639
海波儿猪,2,很瘦,0,夏,1,4,,5,,,,2.2582657606631193
太湖母猪,0,偏胖,3,夏,1,4,,,26,4,,4.4166172905015415
太湖母猪,3,偏胖,3,秋,2,6,,5,,,,2.915077827762882
太湖母猪,3,标准,2,夏,1,3,9,,,,,3.0002120552313656
太湖母猪,3,很瘦,0,秋,2,6,,,,,3,3.788554784730654
苏太母猪,4,很瘦,0,冬,3,6,,9,,,,3.419002173531352
海波儿猪,2,很胖,4,冬,3,5,,,,,5,3.178506592306499
二元母猪,5,标准,2,夏,1,6,7,,,,,3.308132932468501
太湖母猪,3,很瘦,0,夏,1,6,,,27,6,,5.236754077151929
海波儿猪,2,偏胖,3,夏,1,5,,,9,5,,4.649015689234392
苏太母猪,4,偏胖,3,春,0,3,,,3,3,,3.987614028583454
荣昌母猪,1,很胖,4,夏,1,1,,7,,,,2.691542744194669
荣昌母猪,1,偏瘦,1,夏,1,1,,,,,7,3.4728435787277885
太湖母猪,0,标准,2,冬,3,5,,,1,5,,4.827613690700323
荣昌母猪,1,偏瘦,1,春,0,6,3,,,,,3.16234725439746
太湖母猪,3,标准,2,春,0,5,9,,,,,3.2189540396577367
海波儿猪,2,很瘦,0,春,0,6,,,,,3,3.5208114028907316
海波儿猪,2,很瘦,0,秋,2,5,5,,,,,3.41568206129724
荣昌母猪,1,标准,2,夏,1,3,,,2,3,,4.0734221864338345
苏太母猪,4,偏胖,3,春,0,1,7,,,,,3.002426027920608
太湖母猪,0,很胖,4,冬,3,5,6,,,,,3.160015832837048
苏太母猪,4,偏瘦,1,秋,2,3,,,19,3,,4.236678484890216
荣昌母猪,1,很瘦,0,春,0,5,,6,,,,2.3935178497211878
海波儿猪,2,偏瘦,1,秋,2,4,,6,,,,2.8681755280853523
太湖母猪,3,标准,2,秋,2,1,,,,,3,3.6135610854432594
苏太母猪,4,很胖,4,冬,3,5,,,,,3,3.282831676221364
海波儿猪,2,标准,2,春,0,6,,,,,2,3.4538744761452094
二元母猪,5,很胖,4,春,0,4,,,24,4,,4.324013150657194
二元母猪,5,很胖,4,春,0,5,,,,,3,3.168687649374649
荣昌母猪,1,很胖,4,春,0,4,,,28,4,,4.336523286145441
苏太母猪,4,很瘦,0,夏,1,6,,,,,1,3.721472673511259
荣昌母猪,1,偏瘦,1,秋,2,5,5,,,,,3.0923874880011817
二元母猪,5,很胖,4,夏,1,6,,,9,6,,4.8811847431159086
太湖母猪,3,偏胖,3,春,0,2,,,13,2,,3.6593258372083177
二元母猪,5,偏瘦,1,秋,2,6,2,,,,,3.5074635048597367
二元母猪,5,标准,2,夏,1,3,,,,,2,3.375877413397859
苏太母猪,4,偏胖,3,秋,2,5,,,25,5,,4.862633694865188
苏太母猪,4,偏瘦,1,夏,1,3,,,8,3,,4.311316509677205
太湖母猪,0,很胖,4,冬,3,5,,2,,,,2.9399721509055006
太湖母猪,0,很瘦,0,冬,3,5,,2,,,,2.7444454515829095
二元母猪,5,偏胖,3,夏,1,6,,,,,2,3.4672314559119357
二元母猪,5,很胖,4,秋,2,5,,,,,5,3.306439387446406
荣昌母猪,1,偏胖,3,秋,2,2,,,,,1,3.306456671895744
二元母猪,5,很瘦,0,冬,3,3,3,,,,,3.9411517536375253
太湖母猪,3,偏胖,3,春,0,3,,3,,,,2.3215919032742187
二元母猪,5,很胖,4,夏,1,3,,3,,,,1.9437861284636087
苏太母猪,4,标准,2,夏,1,2,7,,,,,2.9201072218395305
太湖母猪,3,很胖,4,夏,1,3,,7,,,,2.7083632690324175
荣昌母猪,1,偏瘦,1,夏,1,3,,,4,3,,4.230328874356062
太湖母猪,0,标准,2,春,0,2,,,4,2,,3.7448302680677648
二元母猪,5,很胖,4,夏,1,4,,7,,,,2.3609321923486997
二元母猪,5,很胖,4,秋,2,2,3,,,,,2.738834749375961
海波儿猪,2,很瘦,0,春,0,6,,,20,6,,5.284979819603055
太湖母猪,0,偏胖,3,冬,3,5,,,1,5,,4.765156202360013
苏太母猪,4,偏瘦,1,秋,2,4,,,,,3,3.480475672203744
太湖母猪,3,很胖,4,冬,3,5,,,,,7,3.3381653501020496
太湖母猪,0,偏胖,3,秋,2,3,5,,,,,3.1696036822399067
海波儿猪,2,很胖,4,冬,3,1,,,,,3,3.325839140241847
太湖母猪,0,很瘦,0,春,0,6,,5,,,,2.346641786028159
太湖母猪,3,标准,2,夏,1,4,,5,,,,2.258708181124496
太湖母猪,3,偏瘦,1,冬,3,5,3,,,,,3.578702009560208
荣昌母猪,1,很瘦,0,秋,2,4,,,7,4,,4.406015440615036
太湖母猪,3,偏瘦,1,春,0,5,6,,,,,2.884212241886439
